"pub.name","2013","2014","2015a","2015b","2015c","2016a","2016b","2017","2018","2019","2023"
"VL1",22,0,20,15,29,28,30,30,30,0,30
"VL2",19,0,0,0,28,0,0,26,0,0,30
"VL5",30,0,0,0,0,0,0,19,0,0,29
"VL3",0,0,0,29,30,30,30,27,29,29,29
"VL6",0,0,0,0,30,0,0,22,0,0,20
"VL4",0,0,0,0,0,29,30,28,29,27,30
"VL7",0,0,0,0,0,0,0,26,0,0,30
"VL8",0,0,0,0,0,0,0,20,0,0,30
"VL11",0,0,0,0,0,0,0,0,0,0,29
"VL12",0,0,0,0,0,0,0,0,0,0,28
"VL13",0,0,0,0,0,0,0,0,0,0,29
"VL9",0,0,0,0,0,0,0,0,0,0,18
"L1",28,32,0,0,30,0,0,29,28,24,29
"L3",30,0,0,0,0,0,0,0,0,0,30
"L4",25,0,0,0,0,30,0,30,0,0,30
"L5",25,0,0,0,0,0,0,29,0,0,30
"L2",0,31,0,0,30,29,0,0,28,28,29
"L6",0,0,0,0,0,0,0,0,0,0,30
"L7",0,0,0,0,0,0,0,0,0,0,30
"M1",29,27,30,30,30,30,30,29,30,30,30
"M10",28,0,0,0,0,0,0,29,0,0,29
"M11",19,0,0,0,0,0,0,0,0,0,30
"M2",26,31,30,30,29,26,30,29,30,29,30
"M3",28,31,0,30,29,30,30,29,27,30,29
"M4",13,21,0,0,30,16,0,30,0,0,28
"M5",24,25,0,0,31,0,0,17,27,0,30
"M6",27,0,0,0,0,0,30,30,0,30,30
"M12",0,0,0,0,0,30,0,31,0,0,30
"M9",0,0,0,0,0,22,30,31,0,28,30
"M7",0,0,0,0,0,0,0,25,0,0,30
"M8",0,0,0,0,0,0,0,22,0,0,30
"H2",30,0,0,0,0,0,0,29,0,0,30
"H1",0,0,0,0,0,23,30,31,0,28,30
"VH1",28,30,30,30,29,30,30,29,29,30,30
"VH2",30,0,0,30,30,30,30,30,30,28,30
"VH3",29,25,30,30,30,30,30,30,20,29,30
"VH4",0,0,0,0,0,0,0,20,0,30,30
